Disease,Description,Diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Workouts,Medication
Panic disorder,"Panic disorder is a mental health condition marked by sudden, unexpected panic attacks—intense periods of fear or discomfort—often accompanied by physical symptoms like chest pain, rapid heartbeat, shortness of breath, or dizziness.","['Magnesium-rich foods (spinach, pumpkin seeds, almonds)', 'Omega-3 fatty acids (salmon, flaxseeds, walnuts)', 'Complex carbs (oats, quinoa)', 'Green tea (L-theanine)', 'Limit caffeine and sugar']",Practice deep breathing,Avoid caffeine,Follow therapy plan,Seek support from loved ones,"[""Deep breathing exercises: Calm your mind by focusing on slow, deep breaths"", ""Yoga: Combines breathing and movement for relaxation"", ""Mindfulness meditation: Helps reduce anxiety by staying present"", ""Regular aerobic exercise: Boosts mood and reduces stress""]","['SSRIs (e.g., Sertraline, Fluoxetine)', 'Benzodiazepines (e.g., Clonazepam, Alprazolam)', 'SNRIs (e.g., Venlafaxine)', 'Beta-blockers', 'Cognitive Behavioral Therapy (CBT)']"
Vaginitis,"Vaginitis is inflammation of the vaginal tissue, typically caused by infections (bacterial, fungal, or parasitic), hormonal imbalances, or irritants, resulting in discharge, itching, pain, or burning during urination.","['Probiotics (yogurt, kefir, sauerkraut)', 'Low-sugar diet (avoid sweets, processed sugar)', 'Garlic (raw or cooked)', 'Cranberry juice (unsweetened)', 'Hydration (water, herbal teas)']",Wear breathable cotton underwear,Avoid douching,Maintain genital hygiene,Avoid scented hygiene products,"[""Pelvic floor exercises: Strengthen pelvic muscles to reduce discomfort"", ""Avoid tight clothing: Prevent irritation"", ""Use cotton underwear: Helps keep area dry and breathable"", ""Maintain hygiene: Prevent infections""]","['Metronidazole', 'Clindamycin', 'Fluconazole', 'Hydrocortisone cream', 'Probiotic supplements']"
Problem during pregnancy,"Problems during pregnancy refer to medical complications such as gestational diabetes, preeclampsia, or fetal growth restriction that can affect the health of the mother or baby during gestation.","['Prenatal vitamins (consult doctor)', 'Iron-rich foods (red meat, lentils, spinach)', 'Folate-rich foods (leafy greens, fortified cereals)', 'Calcium and Vitamin D (milk, cheese, fortified plant milk)', 'Avoid raw fish, deli meats, unpasteurized dairy']",Attend regular prenatal visits,Avoid alcohol and smoking,Eat a balanced diet,Get adequate rest,"[""Prenatal yoga: Gentle stretches safe for pregnancy"", ""Walking: Keeps you active and healthy"", ""Pelvic tilts: Strengthen core muscles"", ""Kegel exercises: Support pelvic health""]","['Prenatal vitamins', 'Iron supplements', 'Antihypertensives (e.g., Labetalol)', 'Insulin (for gestational diabetes)', 'Folic acid']"
Acute pancreatitis,"Acute pancreatitis is a sudden inflammation of the pancreas that causes severe abdominal pain, nausea, vomiting, and elevated pancreatic enzymes, often due to gallstones or alcohol use.","['Low-fat foods (boiled vegetables, lean chicken breast)', 'Small frequent meals', 'Broths and clear liquids (chicken broth, vegetable broth)', 'Avoid alcohol and caffeine', 'Lean proteins (tofu, white fish)']",Avoid alcohol,Eat a low-fat diet,Stay hydrated,Follow doctor's advice strictly,"[""Avoid heavy lifting: Prevent strain on pancreas"", ""Gentle stretching: Maintain flexibility"", ""Rest: Allow healing"", ""Breathing exercises: Reduce stress and pain""]","['IV fluids', 'Pain relievers (e.g., Morphine)', 'Antibiotics (if infection)', 'Enzyme replacement therapy', 'Fasting/NPO']"
Asthma,"Asthma is a chronic inflammatory disease of the airways causing recurrent wheezing, breathlessness, chest tightness, and coughing, often triggered by allergens, exercise, or cold air.","['Anti-inflammatory foods (blueberries, kale, turmeric)', 'Magnesium-rich foods (pumpkin seeds, spinach)', 'Omega-3s (wild salmon, chia seeds)', 'Avoid dairy if sensitive', 'Vitamin D-rich foods (egg yolks, fortified milk)']",Avoid known triggers,Use inhaler as prescribed,Monitor peak flow,Keep emergency inhaler handy,"[""Breathing exercises: Improve lung function"", ""Yoga: Combines breathing and movement"", ""Swimming: Low-impact cardio good for lungs"", ""Avoid strenuous workouts during flare-ups: Prevent attacks""]","['Inhaled corticosteroids (e.g., Fluticasone)', 'Beta-agonists (e.g., Albuterol)', 'Leukotriene modifiers (e.g., Montelukast)', 'Anticholinergics (e.g., Ipratropium)', 'Omalizumab']"
Infectious gastroenteritis,"Infectious gastroenteritis is an intestinal infection caused by viruses, bacteria, or parasites, leading to symptoms like diarrhea, vomiting, abdominal cramps, and fever.","['Oral rehydration solution (ORS)', 'BRAT diet (bananas, rice, applesauce, toast)', 'Clear soups (chicken soup)', 'Avoid dairy and greasy foods', 'Probiotics (yogurt, kefir)']",Wash hands frequently,Avoid sharing utensils,Drink clean water,Avoid street food,"[""Rest: Allow the body to recover"", ""Gentle walking: Only after symptoms improve"", ""Hydration focus: Replenish fluids before any activity"", ""Avoid strenuous exercise: Prevent worsening dehydration""]","['Oral rehydration salts (ORS)', 'Antibiotics (e.g., Ciprofloxacin, if bacterial)', 'Antiemetics (e.g., Ondansetron)', 'Probiotics', 'Loperamide (if appropriate)']"
Acute sinusitis,"Acute sinusitis is a temporary inflammation or infection of the sinuses, usually following a cold, causing nasal congestion, facial pain, pressure, and headache.","['Spicy foods (hot peppers, horseradish)', 'Hydration (water, herbal teas)', 'Vitamin C-rich foods (oranges, strawberries)', 'Warm teas (ginger, chamomile)', 'Avoid processed sugars']",Use nasal saline spray,Stay hydrated,Avoid allergens,Use warm compresses,"[""Nasal breathing exercises: Help open airways"", ""Gentle yoga: Promotes drainage"", ""Walking: Low intensity, improves circulation"", ""Avoid cold-weather workouts: Prevent sinus aggravation""]","['Saline nasal spray', 'Decongestants (e.g., Pseudoephedrine)', 'Nasal corticosteroids', 'Antibiotics (if bacterial)', 'Acetaminophen for pain']"
Cornea infection,"Cornea infection (keratitis) is an infection of the transparent front part of the eye, usually caused by bacteria, fungi, or viruses, leading to eye pain, redness, blurred vision, and light sensitivity.","['Vitamin A-rich foods (carrots, sweet potatoes, spinach)', 'Zinc-rich foods (pumpkin seeds, beef)', 'Hydration (water)', 'Avoid alcohol and smoking', 'Omega-3-rich foods (flaxseed, salmon)']",Avoid touching eyes,Use prescribed eye drops,Wear sunglasses,Don’t share towels or cosmetics,"[""Rest the eyes: Avoid screen-heavy workouts"", ""Gentle walking: Safe and non-straining"", ""Indoor stretching: Limits light exposure"", ""Avoid swimming: Prevent waterborne pathogens""]","['Antibiotic eye drops (e.g., Ciprofloxacin)', 'Antiviral eye drops (e.g., Ganciclovir)', 'Antifungal drops (e.g., Natamycin)', 'Lubricant eye drops', 'Steroids (in selected cases)']"
Marijuana abuse,"Marijuana abuse refers to the excessive or harmful use of cannabis, which can lead to cognitive impairment, altered judgment, addiction, and long-term mental health issues.","['Hydration (water, herbal teas)', 'Omega-3s for brain health (walnuts, flaxseeds)', 'Foods rich in B vitamins (eggs, poultry, leafy greens)', 'Antioxidant-rich foods (berries, nuts)', 'Limit processed foods']",Avoid peer pressure,Seek counseling,Build healthy habits,Avoid triggering environments,"[""Cardio workouts: Boost dopamine and mood"", ""Yoga: Improve focus and reduce cravings"", ""Strength training: Rebuild physical health"", ""Group activities: Enhance social motivation and discipline""]","['Behavioral therapy', 'CBT', 'Motivational enhancement therapy', 'No FDA-approved medications', 'Support groups (e.g., NA)']"
Bursitis,"Bursitis is inflammation of the bursae—small fluid-filled sacs that cushion bones and joints—causing joint pain, swelling, and limited movement, often from repetitive motion or pressure.","['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Vitamin C (bell peppers, citrus fruits)', 'Hydration', 'Avoid processed and fried foods']",Rest the affected joint,Apply ice packs,Use joint support,Avoid repetitive strain,"[""Gentle range-of-motion exercises: Prevent joint stiffness"", ""Low-impact cardio: Like swimming or cycling"", ""Stretching: Keep affected areas flexible"", ""Avoid pressure on joints: Use proper form and padding""]","['NSAIDs (e.g., Ibuprofen)', 'Corticosteroid injections', 'Ice packs', 'Physical therapy', 'Antibiotics (if septic bursitis)']"
Actinic keratosis,"Actinic keratosis is a rough, scaly patch on the skin caused by prolonged sun exposure, and is considered a precancerous condition that can develop into squamous cell carcinoma.","['Antioxidant-rich foods (berries, spinach, nuts)', 'Vitamin E-rich foods (almonds, sunflower seeds)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Green tea', 'Avoid excessive sun exposure']",Avoid sun exposure,Use broad-spectrum sunscreen,Wear protective clothing,See dermatologist regularly,"[""Indoor workouts: Avoid sun exposure"", ""Gentle stretching: Maintain skin comfort"", ""Low-sweat activities: Prevent skin irritation"", ""Walking in shaded areas: If outdoor movement needed""]","['Topical 5-fluorouracil', 'Imiquimod cream', 'Diclofenac gel', 'Cryotherapy', 'Photodynamic therapy']"
Chronic obstructive pulmonary disease (COPD),"COPD is a group of progressive lung diseases, including emphysema and chronic bronchitis, characterized by airflow limitation, coughing, wheezing, and shortness of breath.","['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (wild salmon, walnuts)', 'High-protein foods (chicken, beans)', 'Vitamin C-rich foods (oranges, broccoli)', 'Hydration']",Avoid smoking,Use inhalers as prescribed,Stay away from air pollution,Get vaccinated against flu,"[""Pursed-lip breathing: Improve oxygen use"", ""Walking: Build endurance safely"", ""Stationary biking: Low strain on lungs"", ""Pulmonary rehabilitation exercises: Doctor-guided regimens""]","['Bronchodilators (e.g., Salbutamol)', 'Inhaled corticosteroids', 'Phosphodiesterase-4 inhibitors (e.g., Roflumilast)', 'Oxygen therapy', 'Antibiotics during exacerbations']"
Spondylosis,"Spondylosis is a degenerative condition affecting the spine due to aging, resulting in stiffness, pain, and reduced mobility due to wear and tear on spinal discs and joints.","['Calcium-rich foods (milk, cheese, fortified plant milk)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Anti-inflammatory foods (turmeric, leafy greens)', 'Magnesium sources (nuts, seeds)', 'Omega-3 fatty acids (flaxseeds, fish)']",Maintain good posture,Exercise regularly,Use ergonomic chairs,Avoid lifting heavy weights,"[""Neck and back stretches: Improve mobility"", ""Posture correction exercises: Reduce strain"", ""Tai chi or yoga: Low-impact balance and movement"", ""Avoid high-impact sports: Prevent joint stress""]","['NSAIDs (e.g., Naproxen)', 'Muscle relaxants', 'Physical therapy', 'Epidural steroid injections', 'Surgery in severe cases']"
